age,how_tall_in_meters,weight,body_mass_index,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,user_debora,user_katia,user_wallace,user_jose_carlos,gender_Woman,gender_Man,class_sitting,class_sittingdown,class_standing,class_standingup,class_walking
46,162,74.95634511134021,28.6,-4,80,-82,0,54,-132,21,108,-100,-179,-91,-178,1,0,0,0,1,0,0,0,0,0,1
28,158,54.937488133017126,22.0,-14,107,-129,-492,-516,-615,38,117,-134,-187,-81,-173,0,1,0,0,1,0,0,0,0,0,1
31,171,82.88453946464487,28.4,-1,69,-66,-25,-3,-24,85,78,-141,-102,-124,-141,0,0,1,0,0,1,1,0,0,0,0
31,171,82.88478344239954,28.4,8,71,-56,-33,-21,-23,69,62,-109,-90,-138,-172,0,0,1,0,0,1,1,0,0,0,0
28,158,54.9374538903031,22.0,-5,98,-111,-445,-467,-568,30,118,-133,-179,-82,-180,0,1,0,0,1,0,0,0,0,0,1
46,162,74.95572105273457,28.6,-1,88,-48,-22,22,-19,12,109,-88,-163,-95,-150,1,0,0,0,1,0,1,0,0,0,0
28,158,54.937627390910556,22.0,-3,99,-120,-492,-516,-616,23,121,-123,-195,-83,-174,0,1,0,0,1,0,0,0,0,0,1
31,171,82.88544479775477,28.4,-9,93,-125,0,89,-136,32,126,-80,-173,-67,-153,0,0,1,0,0,1,0,0,1,0,0
31,171,82.88553143993802,28.4,27,58,-145,-331,-375,-512,-31,142,-76,-199,-52,-167,0,0,1,0,0,1,0,0,0,0,1
28,158,54.93964349146678,22.0,-25,24,-22,-245,-246,-330,38,108,-102,-162,-90,-168,0,1,0,0,1,0,1,0,0,0,0
75,167,66.87527892348888,24.0,-12,97,-102,-12,-19,-20,-65,89,-104,-102,-145,-132,0,0,0,1,0,1,1,0,0,0,0
28,158,54.93341580097945,22.0,2,90,-128,-14,-1,-21,-28,50,-123,-198,-88,-147,0,1,0,0,1,0,0,0,0,1,0
31,171,82.88031866638312,28.4,-10,110,-106,-109,-126,-196,5,132,-93,-218,-72,-187,0,0,1,0,0,1,0,0,0,0,1
31,171,82.88331900103589,28.4,-5,72,-123,-483,-506,-606,1,126,-98,-232,-81,-183,0,0,1,0,0,1,0,0,0,0,1
46,162,74.9561940771463,28.6,-6,102,-97,4,83,-121,24,107,-97,-180,-89,-160,1,0,0,0,1,0,0,0,1,0,0
